Data, Gold 
30/mai/17,1339.10
29/mai/17,1266.69
28/mai/17,1268.22
26/mai/17,1344.80
25/mai/17,1333.30
24/mai/17,1329.70
23/mai/17,1332.10
22/mai/17,1338.00
19/mai/17,1329.90
18/mai/17,1329.20
17/mai/17,1336.20
16/mai/17,1314.40
15/mai/17,1308.00
12/mai/17,1305.70
11/mai/17,1302.90
10/mai/17,1297.60
09/mai/17,1295.10
08/mai/17,1306.10
05/mai/17,1305.80
04/mai/17,1307.40
03/mai/17,1327.60
02/mai/17,1336.10
01/mai/17,1334.60
28/abr/17,1347.10
27/abr/17,1344.70
26/abr/17,1343.00
25/abr/17,1346.00
24/abr/17,1355.80
21/abr/17,1367.00
20/abr/17,1361.70
19/abr/17,1360.50
18/abr/17,1370.90
17/abr/17,1369.80
14/abr/17,1289.65
13/abr/17,1366.70
12/abr/17,1357.30
11/abr/17,1353.40
10/abr/17,1333.30
07/abr/17,1336.80
06/abr/17,1332.40
05/abr/17,1327.50
04/abr/17,1336.80
03/abr/17,1332.70
31/mar/17,1329.80
30/mar/17,1326.70
29/mar/17,1335.50
28/mar/17,1337.50
27/mar/17,1337.40
24/mar/17,1330.40
23/mar/17,1328.50
22/mar/17,1331.50
21/mar/17,1329.00
20/mar/17,1317.20
17/mar/17,1313.60
16/mar/17,1310.70
15/mar/17,1284.30
14/mar/17,1286.30
13/mar/17,1286.60
10/mar/17,1284.00
09/mar/17,1285.70
08/mar/17,1291.90
07/mar/17,1297.70
06/mar/17,1307.30
03/mar/17,1308.80
02/mar/17,1313.90
01/mar/17,1331.10
28/fev/17,1334.30
27/fev/17,1339.10
24/fev/17,1338.40
23/fev/17,1331.70
22/fev/17,1313.30
21/fev/17,1319.20
20/fev/17,1238.20
19/fev/17,1237.30
17/fev/17,1319.40
16/fev/17,1322.70
15/fev/17,1314.20
14/fev/17,1304.90
13/fev/17,1304.90
10/fev/17,1314.50
09/fev/17,1315.40
08/fev/17,1318.30
07/fev/17,1316.40
06/fev/17,1313.30
03/fev/17,1302.20
02/fev/17,1300.60
01/fev/17,1289.50
31/jan/17,1291.80
30/jan/17,1276.40
27/jan/17,1271.70
26/jan/17,1272.90
25/jan/17,1281.10
24/jan/17,1294.10
23/jan/17,1298.90
20/jan/17,1289.20
19/jan/17,1285.50
18/jan/17,1295.70
17/jan/17,1297.40
16/jan/17,1202.85
15/jan/17,1203.35
13/jan/17,1281.30
12/jan/17,1283.30
11/jan/17,1280.00
10/jan/17,1268.50
09/jan/17,1267.60
06/jan/17,1255.70
05/jan/17,1262.10
04/jan/17,1247.10
03/jan/17,1244.70
02/jan/17,1151.05
30/dez/16,1234.50
29/dez/16,1241.20
28/dez/16,1224.00
27/dez/16,1221.90
26/dez/16,1134.55
25/dez/16,1135.00
23/dez/16,1216.80
22/dez/16,1213.80
21/dez/16,1216.50
20/dez/16,1217.00
19/dez/16,1225.90
16/dez/16,1220.90
15/dez/16,1213.10
14/dez/16,1238.30
13/dez/16,1233.60
12/dez/16,1240.30
09/dez/16,1236.00
08/dez/16,1246.40
07/dez/16,1250.60
06/dez/16,1235.00
05/dez/16,1241.70
02/dez/16,1242.40
01/dez/16,1233.70
30/nov/16,1238.40
29/nov/16,1255.50
28/nov/16,1258.60
25/nov/16,1245.50
24/nov/16,1185.55
23/nov/16,1256.90
22/nov/16,1278.00
21/nov/16,1276.80
18/nov/16,1276.40
17/nov/16,1283.80
16/nov/16,1290.30
15/nov/16,1290.90
14/nov/16,1286.90
11/nov/16,1282.70
10/nov/16,1326.60
09/nov/16,1335.70
08/nov/16,1336.20
07/nov/16,1340.40
04/nov/16,1365.70
03/nov/16,1363.80
02/nov/16,1368.00
01/nov/16,1348.00
31/out/16,1333.70
28/out/16,1337.10
27/out/16,1330.00
26/out/16,1324.60
25/out/16,1331.60
24/out/16,1317.20
21/out/16,1323.00
20/out/16,1323.50
19/out/16,1325.20
18/out/16,1318.60
17/out/16,1311.80
14/out/16,1310.40
13/out/16,1312.30
12/out/16,1307.70
11/out/16,1309.50
10/out/16,1313.90
07/out/16,1304.50
06/out/16,1305.50
05/out/16,1321.30
04/out/16,1322.10
03/out/16,1365.90
30/set/16,1370.40
29/set/16,1379.10
28/set/16,1376.70
27/set/16,1384.40
26/set/16,1398.60
23/set/16,1396.00
22/set/16,1399.20
21/set/16,1388.30
20/set/16,1374.70
19/set/16,1374.40
16/set/16,1367.10
15/set/16,1374.90
14/set/16,1383.30
13/set/16,1380.80
12/set/16,1384.40
09/set/16,1393.10
08/set/16,1400.20
07/set/16,1407.10
06/set/16,1411.10
05/set/16,1331.10
04/set/16,1326.25
02/set/16,1385.30
01/set/16,1372.60
31/ago/16,1367.90
30/ago/16,1374.50
29/ago/16,1384.40
26/ago/16,1383.20
25/ago/16,1384.00
24/ago/16,1390.40
23/ago/16,1407.80
22/ago/16,1405.20
19/ago/16,1408.00
18/ago/16,1419.10
17/ago/16,1410.60
16/ago/16,1419.00
15/ago/16,1410.60
12/ago/16,1406.80
11/ago/16,1414.00
10/ago/16,1415.60
09/ago/16,1410.60
08/ago/16,1405.30
05/ago/16,1407.90
04/ago/16,1427.90
03/ago/16,1423.90
02/ago/16,1429.40
01/ago/16,1416.20
29/jul/16,1415.70
28/jul/16,1398.80
27/jul/16,1392.00
26/jul/16,1382.60
25/jul/16,1381.30
22/jul/16,1385.50
21/jul/16,1392.20
20/jul/16,1379.70
19/jul/16,1392.30
18/jul/16,1385.40
15/jul/16,1383.50
14/jul/16,1387.70
13/jul/16,1399.00
12/jul/16,1390.70
11/jul/16,1411.30
08/jul/16,1412.00
07/jul/16,1415.00
06/jul/16,1422.80
05/jul/16,1414.40
04/jul/16,1352.00
03/jul/16,1345.50
01/jul/16,1394.30
30/jun/16,1375.00
29/jun/16,1381.40
28/jun/16,1372.20
27/jun/16,1378.80
24/jun/16,1376.80
23/jun/16,1317.70
22/jun/16,1322.10
21/jun/16,1324.60
20/jun/16,1344.20
17/jun/16,1342.90
16/jun/16,1345.60
15/jun/16,1335.00
14/jun/16,1335.20
13/jun/16,1337.70
10/jun/16,1327.70
09/jun/16,1324.40
08/jun/16,1314.00
07/jun/16,1298.80
06/jun/16,1299.40
03/jun/16,1294.60
02/jun/16,1264.90
01/jun/16,1267.20
31/mai/16,1269.30
30/mai/16,1212.15
27/mai/16,1267.60
26/mai/16,1273.60
25/mai/16,1277.40
24/mai/16,1282.70
23/mai/16,1304.90
20/mai/16,1305.90
19/mai/16,1305.90
18/mai/16,1324.30
17/mai/16,1324.90
16/mai/16,1321.80
13/mai/16,1319.50
12/mai/16,1317.70
11/mai/16,1322.60
10/mai/16,1311.30
09/mai/16,1312.90
06/mai/16,1340.10
05/mai/16,1317.80
04/mai/16,1324.30
03/mai/16,1342.80
02/mai/16,1347.30
29/abr/16,1341.40
28/abr/16,1316.80
27/abr/16,1299.80
26/abr/16,1292.40
25/abr/16,1289.10
22/abr/16,1278.80
21/abr/16,1299.50
20/abr/16,1302.30
19/abr/16,1300.80
18/abr/16,1280.30
15/abr/16,1279.70
14/abr/16,1272.10
13/abr/16,1293.90
12/abr/16,1306.40
11/abr/16,1302.40
08/abr/16,1287.30
07/abr/16,1282.30
06/abr/16,1268.80
05/abr/16,1274.50
04/abr/16,1264.70
01/abr/16,1268.90
31/mar/16,1280.90
30/mar/16,1276.90
29/mar/16,1286.30
28/mar/16,1270.70
25/mar/16,1216.70
24/mar/16,1272.40
23/mar/16,1274.00
22/mar/16,1298.80
21/mar/16,1292.70
18/mar/16,1302.00
17/mar/16,1314.10
16/mar/16,1280.90
15/mar/16,1280.20
14/mar/16,1294.40
11/mar/16,1308.60
10/mar/16,1320.10
09/mar/16,1303.40
08/mar/16,1309.00
07/mar/16,1310.30
04/mar/16,1315.60
03/mar/16,1300.70
02/mar/16,1283.00
01/mar/16,1271.20
29/fev/16,1273.30
26/fev/16,1258.80
25/fev/16,1277.00
24/fev/16,1277.10
23/fev/16,1261.40
22/fev/16,1246.70
19/fev/16,1267.40
18/fev/16,1262.50
17/fev/16,1247.20
16/fev/16,1241.10
15/fev/16,1208.10
14/fev/16,1233.60
12/fev/16,1271.20
11/fev/16,1282.10
10/fev/16,1232.60
09/fev/16,1236.90
08/fev/16,1238.20
05/fev/16,1198.00
04/fev/16,1197.70
03/fev/16,1183.30
02/fev/16,1170.10
01/fev/16,1173.50
28/jan/16,1161.90
27/jan/16,1163.70
26/jan/16,1163.90
25/jan/16,1167.30
24/jan/16,1152.40
22/jan/16,1142.60
21/jan/16,1143.60
20/jan/16,1151.70
19/jan/16,1135.80
18/jan/16,1088.50
17/jan/16,1090.30
15/jan/16,1137.50
14/jan/16,1123.00
13/jan/16,1137.40
12/jan/16,1137.10
11/jan/16,1148.50
08/jan/16,1151.70
07/jan/16,1162.70
06/jan/16,1151.90
05/jan/16,1138.40
04/jan/16,1135.50
