Data, Gold 
09/nov/20,1874.50
06/nov/20,1973.00
05/nov/20,1967.30
04/nov/20,1916.10
03/nov/20,1930.10
02/nov/20,1912.50
30/out/20,1899.90
29/out/20,1888.20
28/out/20,1900.00
27/out/20,1932.90
26/out/20,1927.10
23/out/20,1926.40
22/out/20,1925.70
21/out/20,1950.30
20/out/20,1936.30
19/out/20,1933.00
16/out/20,1928.30
15/out/20,1930.80
14/out/20,1929.80
13/out/20,1916.70
12/out/20,1950.70
09/out/20,1947.80
08/out/20,1916.80
07/out/20,1911.60
06/out/20,1928.30
05/out/20,1939.00
02/out/20,1926.60
01/out/20,1935.40
30/set/20,1914.60
29/set/20,1922.10
28/set/20,1901.00
25/set/20,1884.80
24/set/20,1894.90
23/set/20,1887.00
22/set/20,1927.50
21/set/20,1930.00
18/set/20,1981.90
17/set/20,1969.30
16/set/20,1990.70
15/set/20,1986.40
14/set/20,1983.90
11/set/20,1967.40
10/set/20,1983.20
09/set/20,1972.90
08/set/20,1961.80
07/set/20,1937.10
06/set/20,1940.65
04/set/20,1952.80
03/set/20,1956.00
02/set/20,1964.50
01/set/20,1998.80
31/ago/20,1999.10
28/ago/20,1993.20
27/ago/20,1953.10
26/ago/20,1974.40
25/ago/20,1945.20
24/ago/20,1962.30
21/ago/20,1969.60
20/ago/20,1969.50
19/ago/20,1992.50
18/ago/20,2036.20
17/ago/20,2021.60
14/ago/20,1976.80
13/ago/20,1998.30
12/ago/20,1976.50
11/ago/20,1976.10
10/ago/20,2072.40
07/ago/20,2061.40
06/ago/20,2103.20
05/ago/20,2081.70
04/ago/20,2052.60
03/ago/20,2017.70
31/jul/20,2017.10
30/jul/20,1997.70
29/jul/20,2007.70
28/jul/20,1996.60
27/jul/20,1988.30
24/jul/20,1957.50
23/jul/20,1947.20
22/jul/20,1919.00
21/jul/20,1891.90
20/jul/20,1860.80
17/jul/20,1854.30
16/jul/20,1847.40
15/jul/20,1862.80
14/jul/20,1862.70
13/jul/20,1864.80
10/jul/20,1852.00
09/jul/20,1854.00
08/jul/20,1871.20
07/jul/20,1851.80
06/jul/20,1830.80
03/jul/20,1787.60
02/jul/20,1825.00
01/jul/20,1814.80
30/jun/20,1833.20
29/jun/20,1812.60
26/jun/20,1810.80
25/jun/20,1800.90
24/jun/20,1805.10
23/jun/20,1809.70
22/jun/20,1794.70
19/jun/20,1782.10
18/jun/20,1761.90
17/jun/20,1767.40
16/jun/20,1768.20
15/jun/20,1758.50
12/jun/20,1768.10
11/jun/20,1771.30
10/jun/20,1753.50
09/jun/20,1755.00
08/jun/20,1738.50
05/jun/20,1716.00
04/jun/20,1759.30
03/jun/20,1732.80
02/jun/20,1759.60
01/jun/20,1773.70
29/mai/20,1773.80
28/mai/20,1750.30
27/mai/20,1746.80
26/mai/20,1745.90
25/mai/20,1727.00
24/mai/20,1730.65
22/mai/20,1770.80
21/mai/20,1756.40
20/mai/20,1788.20
19/mai/20,1780.40
18/mai/20,1767.90
15/mai/20,1786.20
14/mai/20,1770.90
13/mai/20,1747.10
12/mai/20,1738.50
11/mai/20,1731.50
08/mai/20,1748.30
07/mai/20,1757.60
06/mai/20,1718.40
05/mai/20,1740.50
04/mai/20,1737.70
01/mai/20,1717.80
30/abr/20,1709.90
29/abr/20,1727.00
28/abr/20,1735.40
27/abr/20,1735.50
24/abr/20,1745.60
23/abr/20,1754.50
22/abr/20,1746.50
21/abr/20,1694.90
20/abr/20,1718.00
17/abr/20,1705.60
16/abr/20,1739.40
15/abr/20,1748.20
14/abr/20,1773.50
13/abr/20,1764.60
10/abr/20,1740.60
09/abr/20,1755.40
08/abr/20,1685.80
07/abr/20,1685.40
06/abr/20,1696.00
03/abr/20,1650.10
02/abr/20,1642.70
01/abr/20,1597.60
31/mar/20,1602.70
30/mar/20,1649.30
27/mar/20,1661.00
26/mar/20,1668.30
25/mar/20,1639.00
24/mar/20,1669.20
23/mar/20,1588.30
20/mar/20,1501.40
19/mar/20,1497.20
18/mar/20,1494.60
17/mar/20,1541.10
16/mar/20,1500.00
13/mar/20,1532.20
12/mar/20,1606.50
11/mar/20,1658.30
